program	Level 3 Annotation	cells	patients	median_cell_score	cell_score_iqr_low	cell_score_iqr_high	positive_fraction
exhausted_CD8	Alpha	2723	29	-0.06969043612480164	-0.08780412375926971	-0.045940108597278595	0.034153507161219246
exhausted_CD8	B	1573	27	-0.02979844994843006	-0.05681539326906204	0.22769740223884583	0.3680864589955499
exhausted_CD8	Beta	3152	34	-0.0564919039607048	-0.0773623064160347	-0.03301268443465233	0.04187817258883249
exhausted_CD8	CAF	44369	43	-0.044717639684677124	-0.06657993048429489	-0.01974189281463623	0.13563524082129413
exhausted_CD8	CD4+ T	1839	28	-0.034755006432533264	-0.053651005029678345	-0.01608908176422119	0.12669929309407288
exhausted_CD8	CD8+ T	2526	39	-0.020142430439591408	-0.04009941965341568	0.0	0.22684085510688837
exhausted_CD8	CD8+ T (dysfunctional)	967	26	-0.026343489065766335	-0.045842431485652924	0.23838242888450623	0.28335056876938985
exhausted_CD8	CD8+ T (progenitor dysfunctional)	142	22	-0.03162333369255066	-0.04996490105986595	0.232412189245224	0.29577464788732394
exhausted_CD8	CD8+ T (terminally dysfunctional)	419	28	-0.011331376619637012	-0.04567231982946396	0.36154162883758545	0.4892601431980907
exhausted_CD8	Delta	556	31	-0.07099144160747528	-0.08762615919113159	-0.04805437847971916	0.023381294964028777
exhausted_CD8	Dendritic (activated)	91	26	-0.02941281720995903	-0.061883099377155304	0.23075486719608307	0.3956043956043956
exhausted_CD8	Dendritic (conventional type 1)	181	30	0.38989806175231934	0.16349045932292938	0.5984609127044678	0.7845303867403315
exhausted_CD8	Dendritic (conventional type 2)	1008	37	0.3760536313056946	0.10468759387731552	0.574055016040802	0.7549603174603174
exhausted_CD8	Dendritic (plasmacytoid)	139	19	-0.04635893553495407	-0.07344664633274078	0.26426562666893005	0.381294964028777
exhausted_CD8	Ductal	24627	36	-0.0638267770409584	-0.08408451080322266	-0.04051467776298523	0.028545904901124783
exhausted_CD8	Ductal (atypical)	4991	32	-0.0769706442952156	-0.09289999306201935	-0.05900447815656662	0.04728511320376678
exhausted_CD8	Epsilon	46	6	-0.03607088699936867	-0.06567269563674927	0.05201730132102966	0.2826086956521739
exhausted_CD8	Gamma	1716	29	-0.06349091231822968	-0.08350828289985657	-0.038357049226760864	0.028554778554778556
